id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
130	1376.00000000	100.00000000	mua	62.26325226	23	75.00000000	3.31360661		9597	0
131	3137.90000000	100.00000000	good	73.33848572	5	125.00000000	0.44022595		1275	0
132	2360.10000000	100.00000000	mua	92.45223999	23	75.00000000	0.51480540	good	1491	0
134	1570.40000000	100.00000000	mua	73.95829773	5	125.00000000	0.96469906		2794	0
135	2778.60000000	100.00000000	good	69.66622162	21	175.00000000	4.48201806		12981	0
136	1105.50000000	100.00000000	mua	47.94104004	21	175.00000000	2.22288208		6438	0
143	1054.40000000	100.00000000	mua	46.26049805	15	200.00000000	1.20466536		3489	0
149	1633.00000000	100.00000000	mua	69.87998962	17	275.00000000	2.33095324		6751	0
152	2543.70000000	100.00000000	good	82.01484680	4	325.00000000	2.68520565		7777	0
153	2667.90000000	100.00000000	mua	89.39659119	4	325.00000000	0.06974560		202	0
155	2252.00000000	100.00000000	good	76.47886658	4	325.00000000	0.28830484		835	0
158	1854.90000000	100.00000000	mua	72.38554382	13	350.00000000	0.03867083		112	0
159	2268.80000000	100.00000000	mua	72.87485504	17	275.00000000	0.05317239		154	0
160	1205.90000000	100.00000000	good	54.47535324	17	275.00000000	1.45844267		4224	0
161	1658.30000000	100.00000000	mua	64.84925079	13	350.00000000	0.07216253		209	0
162	1874.80000000	100.00000000	mua	61.16433334	17	275.00000000	0.03556335		103	0
163	1785.60000000	100.00000000	mua	71.03164673	4	325.00000000	0.04868381		141	0
164	1620.40000000	100.00000000	mua	70.31597900	4	325.00000000	1.71981604		4981	0
165	1969.10000000	100.00000000	mua	75.51966095	3	375.00000000	0.55692898		1613	0
166	2167.20000000	100.00000000	mua	92.29698181	3	375.00000000	22.36313289	good	64769	0
167	1804.70000000	100.00000000	mua	58.87103653	29	400.00000000	1.36280143	good	3947	0
168	2105.30000000	100.00000000	good	73.69296265	25	450.00000000	2.85059249		8256	0
169	1622.80000000	100.00000000	mua	61.46633530	20	425.00000000	0.03556335		103	0
170	1638.10000000	100.00000000	mua	61.79849243	20	425.00000000	0.05282711		153	0
171	1319.70000000	100.00000000	mua	53.32522583	20	425.00000000	0.05455349		158	0
172	1521.80000000	100.00000000	mua	61.36495209	20	425.00000000	0.07457945		216	0
176	1501.10000000	100.00000000	mua	67.90739441	29	400.00000000	2.43246416		7045	0
177	2642.30000000	100.00000000	good	67.02552032	2	475.00000000	2.70661271		7839	0
178	2247.90000000	100.00000000	mua	74.97375488	20	425.00000000	0.63944977	good	1852	0
179	1542.90000000	100.00000000	mua	60.76683807	2	475.00000000	1.72568572		4998	0
180	2942.90000000	100.00000000	good	75.52185059	25	450.00000000	2.38308980		6902	0
181	1267.50000000	100.00000000	mua	56.96314621	2	475.00000000	9.81306798		28421	0
182	2633.60000000	100.00000000	good	60.47221756	12	500.00000000	0.89875148		2603	0
183	2217.50000000	100.00000000	good	65.86901093	12	500.00000000	0.88148772		2553	0
184	1942.40000000	100.00000000	mua	85.51506042	19	525.00000000	1.73051957		5012	0
185	2486.80000000	100.00000000	good	68.16844177	18	575.00000000	2.63237853		7624	0
186	1737.30000000	100.00000000	mua	63.87144470	19	525.00000000	2.01157363		5826	0
187	1953.70000000	100.00000000	good	69.17161560	18	575.00000000	0.84730547		2454	0
188	1556.60000000	100.00000000	mua	66.25189972	18	575.00000000	1.04721984		3033	0
190	1536.00000000	100.00000000	good	61.82465363	28	600.00000000	2.96971245		8601	0
191	2485.10000000	100.00000000	mua	73.99206543	22	625.00000000	0.03798028		110	0
192	2486.50000000	100.00000000	good	79.43061066	22	625.00000000	0.68019225		1970	0
193	1423.30000000	100.00000000	mua	57.79044342	14	650.00000000	0.97643842		2828	0
194	1262.60000000	100.00000000	good	50.64985657	22	625.00000000	0.56107229		1625	0
195	2625.80000000	100.00000000	mua	82.94265747	22	625.00000000	0.06732867		195	0
196	1412.60000000	100.00000000	mua	61.90914917	22	625.00000000	0.71920835		2083	0
197	1341.80000000	100.00000000	mua	54.26488495	1	675.00000000	6.09272712		17646	0
198	1437.50000000	100.00000000	mua	46.19185257	22	625.00000000	0.31661741		917	0
199	1951.80000000	100.00000000	mua	78.29290771	6	725.00000000	1.23470431	good	3576	0
200	1111.70000000	100.00000000	mua	45.47615433	6	725.00000000	3.85603403		11168	0
201	2954.60000000	100.00000000	good	94.80156708	6	725.00000000	7.11923045		20619	0
202	1100.20000000	100.00000000	mua	48.29446411	0	775.00000000	11.04017623		31975	0
203	3137.00000000	100.00000000	good	91.99682617	7	25.00000000	3.56738392		10332	0
204	2164.70000000	100.00000000	mua	92.37405396	7	25.00000000	13.25822446		38399	0
