ON,Sustanied,OFF,clusters
0.352459016393443,-0.117928648212846,0.478204172876304,4
0.320816864295125,-0.0704442860536945,-0.0810276679841898,2
-0.196876742889013,-0.211907874886855,-0.307306190741774,2
0.288916562889166,-0.371771839209522,-0.268368617683686,2
0.0443903922164792,-0.162783047316191,-0.133475220431742,2
1.10134128166915,0.0682612201021231,0.825633383010432,1
-0.178321678321678,-0.205548549810845,-0.562937062937063,2
-0.220779220779221,-0.16991933385376,0.0822510822510823,2
-0.0695703010815552,-0.129935164197987,0.0409237065185618,4
0.979472140762463,0.562665256478054,0.737536656891496,3
-0.141849529780564,-0.355568117580554,0.0344827586206896,4
0.0927932171455487,-0.235751295336788,0.0138954309938766,4
-0.0565274547476994,0.120917595142143,0.14066134088381,3
0.186518399633154,0.254005333553842,0.480568611716153,1
0.0349288486416559,0.104701715691472,0.30189344937081,1
0.349490758204451,0.191755662880076,0.488117691437194,1
-0.0196235482579096,0.0785007582869935,0.0452543051661994,3
0.261401222812469,0.286984654870136,0.790618422371454,1
0.506821254455324,0.231613708730118,0.58302265557786,1
0.239103362391034,0.15104985403099,0.37453300124533,1
0.0605458160130129,0.11951243359515,0.196096150370504,1
0.181006493506493,0.409543325526932,0.327110389610389,3
-0.220779220779221,-0.364168618266979,-0.201298701298701,2
0.122994652406417,0.24397299903568,0.306340718105424,3
0.188992120428084,0.242550845121201,0.259555451017288,1
-0.0161892901618929,0.402425331237368,0.323163138231631,3
0.200480879322189,0.11646777057439,0.43405083581406,1
0.326781326781327,0.783024242040636,1.000702000702,3
0.509870826224713,0.294115061750099,0.31611016329515,1
0.33552014995314,0.512590839952679,0.424554826616682,3
0.355844155844156,0.451990632318501,0.449350649350649,3
0.741357234314981,0.747864234587855,0.741357234314981,3
0.572609208972845,0.265062806046413,0.617473435655254,1
0.382252559726962,0.490516421417781,0.768538628606888,3
1.26363636363636,0.770491803278688,1.89090909090909,1
0.748586341887777,0.233037885324339,0.439756415832971,1
0.237575757575758,0.250928961748634,0.513939393939394,1
-0.476041200179131,-0.368489057578939,-0.802955665024631,2
0.213968957871397,0.167782886845262,0.198725055432373,1
-0.0292166220463276,0.139144854222204,0.0580840414387149,3
0.902030008826125,0.438007321343307,0.240070609002648,1
0.518509191639386,0.614368103174243,0.0501133215814656,3
0.0867092484031849,-0.156029599709683,-0.118033073759734,2
-0.127598858540563,0.377637285892818,0.712189156135344,3
0.645634818439351,-0.478939302465982,0.267061550347669,4
1.09864603481625,0.702127659574468,0.09284332688588,1
0.335122442133512,0.312685258000121,0.278094599127809,1
0.205438856445568,0.315561982301998,0.310032249629565,3
0.364651729506532,0.22456453010754,0.0661341636769783,1
0.931565094148613,0.628756069955091,0.603563474387528,1
0.0749385749385749,-0.148205582631812,-0.183046683046683,2
0.823095823095823,0.507310589277802,0.277641277641278,1
-0.0785236561803319,-0.237503908518337,-0.167698786227397,2
