,ND,intensity
0,10,9.354108439
1,9,10.35410844
2,8,11.35410844
3,7,12.35410844
4,6,12.85410844
5,5,13.35410844
6,4,13.85410844
7,3,14.35410844
8,2,14.85410844
9,1,15.35410844
